"id";"ville";"code";"ville_redressee";"long";"lat";"province";"departement";"type";"poste";"PG";"PP";"L";"E";"B";"SB";"C";"T";"total"
1;"Abbeville";80001;"Abbeville";"1.83333";"50.1";"Picardie";"Abbeville";"D. de la P. Générale";1;;;1;1;;1;8;;11
2;"Agen";47001;"Agen";"0.633333";"44.2";"Guyenne";"Agen";"D. de la P. Générale";1;;;1;;;1;4;;6
3;"Airaines";80013;"Airaines";"1.95";"49.9667";"Picardie";"Abbeville";"Brigade";0;;;;;1;;4;;5
4;"Aix";13001;"Aix-en-Provence";"5.43333";"43.5333";"Provence";"Aix";"P. Générale";1;1;;1;1;;1;8;1;13
5;"Alais";30007;"Alès";"4.08333";"44.1333";"Languedoc";"Montpellier";"Brigade";0;;;;1;;;4;;5
6;"Albert";80016;"Albert";"2.65";50;"Picardie";"Amiens";"Brigade";0;;;;;;1;4;;5
7;"Alby";"‎81004";"Albi";"2.15";"43.9333";"Languedoc";"Toulouse";"Brigade";0;;;;1;;;4;;5
8;"Alençon";61001;"Alençon";"0.083333";"48.4333";"Alençon";"Alençon";"P. Générale";1;1;;1;;1;1;4;1;9
9;"Alt-Kirch";68004;"Altkirch";"7.25";"47.6167";"Alsace";"Colmar";"Brigade";1;;;;;;1;4;;5
10;"Ambert";63003;"Ambert";"3.75";"45.55";"Auvergne";"Riom";"Brigade";0;;;;1;;;4;;5
11;"Amboise";37003;"Amboise";"0.983333";"47.4167";"Touraine";"Tours";"Brigade";1;;;;1;;1;4;;6
12;"Amiens";80021;"Amiens";"2.3";"49.9";"Picardie";"Amiens";"P. Générale";1;1;;1;1;;1;8;1;13
13;"Ancenis";44003;"Ancenis";"-1.16667";"47.3667";"Bretagne";"Nantes";"Brigade";1;;;;;;1;4;;5
14;"Angers";49007;"Angers";"-0.55";"47.4667";"Anjou";"Angers";"P. Générale";1;1;;1;1;1;1;12;1;18
15;"Angoulême";16015;"Angoulême";"0.15";"45.65";"Limousin";"Angoulême";"D. de la P. Générale";0;;;1;;1;;4;;6
16;"Anonnonai";"‎07010";"Annonay";"4.66667";"45.2333";"Languedoc";"Puy";"Brigade";0;;;;;1;;4;;5
17;"Apt";84003;"Apt";"5.4";"43.8833";"Provence";"Digne";"Brigade";0;;;;;;1;4;;5
18;"Arcis sur Aube";"‎10006";"Arcis-sur-Aube";"4.13333";"48.5333";"Champagne";"Troyes";"Brigade";1;;;;;1;;4;;5
19;"Argentat";19010;"Argentat";"1.93333";"45.1";"Limousin";"Tulles";"Brigade";1;;;;1;;;4;;5
20;"Argenton";36006;"Argenton-sur-Creuse";"1.51667";"46.5833";"Berry";"Bourges";"Brigade";1;;;;;;1;4;;5
21;"Arpajon";91021;"Arpajon";"2.25";"48.5833";"Paris";"Melun";"Brigade";1;;;;;1;;4;;5
22;"Arras";62041;"Arras";"2.78333";"50.2833";"Artois";"Amiens";"Brigade";1;;;1;;;1;4;;6
24;"Aubenas";7019;"Aubenas";"4.38333";"44.6167";"Languedoc";"Puy";"Brigade";0;;;;;1;;4;;5
25;"Aubigny";18015;"Aubigny-sur-Nère";"2.43333";"47.4833";"Berry";"Bourges";"Brigade";0;;;;;1;;4;;5
26;"Aubusson";61011;"Aubusson";"-0.55";"48.7833";"Bourbonnais";"Gueret";"Brigade";0;;;;;1;;4;;5
27;"Auch";32013;"Auch";"0.583333";"43.65";"Béarn";"Auch";"D. de la P. Générale";0;;;1;1;;;4;;6
29;"Aulney";76631;;;;"Caen";"Caen";"Brigade";0;;;;;;1;4;;5
30;"Aumale";76035;"Aumale";"1.75";"49.7667";"Rouen";"Rouen";"Brigade";0;;;;;;1;4;;5
32;"Aurillac";15014;"Aurillac";"2.45";"44.9167";"Auvergne";"St Flour";"Brigade";1;;;;1;;;4;;5
33;"Autry";8036;"Autry";"4.83333";"49.2667";"Champagne";"Challons";"Brigade";0;;;;;1;;4;;5
34;"Autun";71014;"Autun";"4.3";"46.95";"Bourgogne";"Autun";"D. de la P. Générale";0;;1;1;;1;;4;;7
35;"Auxerre";89024;"Auxerre";"3.56667";"47.8";"Bourgogne";"Auxerre";"D. de la P. Générale";1;;1;1;;1;;4;;7
36;"Auxonne";21038;"Auxonne";"5.38333";"47.2";"Bourgogne";"Dijon";"Brigade";1;;;;;;1;4;;5
23;"Avallon";89025;"Avallon";"3.9";"47.4833";"Bourgogne";"Auxerre";"Brigade";0;;;;;;1;4;;5
28;"Avennes";"Belgique";"Avennes";"5.1141";"50.571";"Hainaut";"Valenciennes";"Brigade";1;;;;;1;;4;;5
31;"Avranches";50025;"Avranches";"-1.36667";"48.6833";"Caen";"Coutances";"Brigade";1;;;;1;;;4;;5
37;"Bapaume";62080;"Bapaume";"2.85";"50.1";"Artois";"Arras";"Brigade";1;;;;;;1;4;;5
38;"Bar-le-duc";55029;"Bar-le-Duc";"5.16667";"48.7833";"Lorraine";"Bar-le-duc";"D. de la P. Générale";1;;;1;;;1;4;;6
39;"Bar-sur-Aube";10033;"Bar-sur-Aube";"4.71667";"48.2333";"Champagne";"Troyes";"Brigade";1;;;;1;;;4;;5
40;"Barbesieux";16028;"Barbezieux-Saint-Hilaire";"-0.155556";"45.4728";"Aunix";"Saintes";"Brigade";1;;;;;1;;4;;5
41;"Baugé";49018;"Baugé";"-0.1";"47.5417";"Anjou";"Angers";"Brigade";0;;;;1;;;4;;5
42;"Baume";25047;"Baume-les-Dames";"6.36667";"47.35";"Bourgogne";"Besançon";"Brigade";1;;;;1;;;4;;5
43;"Bayeux";14047;"Bayeux";"-0.7";"49.2667";"Caen";"Caen";"Brigade";1;;;;1;;;4;;5
44;"Bayonne";64102;"Bayonne";"-1.48333";"43.4833";"Béarn";"Mont de Marsan";"Brigade";1;;;;1;;;4;;5
47;"Beaumont";14055;"Beaumont-en-Auge";"0.116667";"49.2833";"Alençon";"Falaise";"Brigade";1;;;;;;1;4;;5
46;"Beaumont";72029;"Beaumont-sur-Sarthe";"0.133333";"48.2167";"Maine";"Le Mans";"Brigade";1;;;;1;;;4;;5
45;"Beaumont";95052;"Beaumont-sur-Oise";"2.28333";"49.1333";"Paris";"Beauvais";"Brigade";1;;;;;1;;4;;5
48;"Beaune";21054;"Beaune";"4.83333";"47.0333";"Bourgogne";"Autun";"Brigade";1;;;;;;1;4;;5
49;"Beauvais";60057;"Beauvais";"2.08333";"49.4333";"Paris";"Beauvais";"D. de la P. Générale";1;;;1;1;;;4;;6
51;"Bélac";87011;"Bellac";"1.05";"46.1167";"Limousin";"Limoges";"Brigade";0;;;;;;1;4;;5
50;"Belfort";90010;"Belfort";"6.86667";"47.6333";"Alsace";"Colmar";"Brigade";1;;;;1;;;4;;5
53;"Bergues";59067;"Bergues";"2.43333";"50.9667";"Flandres";"Lille";"Brigade";1;;;;;1;;4;;5
56;"Besançon";25056;"Besançon";"6.03333";"47.25";"Bourgogne";"Besançon";"P. Générale";1;1;;1;;1;1;8;1;13
54;"Besse";63038;"Besse-et-Saint-Anastaise";"2.93278";"45.5131";"Auvergne";"Riom";"Brigade";0;;;;;1;;4;;5
52;"Bessey";21065;"Bessey-en-Chaume";"4.73333";"47.0833";"Bourgogne";"Bessey";"D. de la P. Générale";0;;1;;;1;;4;;6
55;"Bessine";87014;"Bessines-sur-Gartempe";"1.36667";"46.1";"Limousin";"Limoges";"Brigade";1;;;;;1;;4;;5
69;"Beurganeuf";23030;"Bourganeuf";"1.75";"45.95";"Limousin";"Limoges";"Brigade";0;;;;1;;;4;;5
57;"Béziers";34032;"Béziers";"3.25";"43.35";"Languedoc";"Montpellier";"Brigade";1;;;;;1;;4;;5
58;"Bitche";57089;"Bitche";"7.43333";"49.05";"Lorraine";"Sarguemine";"Brigade";1;;;;1;;1;4;;6
59;"Blamont";"‎54077";"Blamont";"6.85";"48.5833";"Lorraine";"Nancy";"Brigade";1;;;;;1;;4;;5
60;"Blaye";33058;"Blaye";"-0.662222";"45.1278";"Guyenne";"Bordeaux";"Brigade";0;;;;;1;;4;;5
61;"Blois";41018;"Blois";"1.33333";"47.5833";"Orléanais";"Blois";"D. de la P. Générale";1;;;1;;1;1;8;;11
62;"Boen";42019;"Boën";"3.98333";"45.7333";"Lyonnais";"Montbrison";"Brigade";1;;;;;;1;4;;5
64;"Bondy";93010;"Bondy";"2.46667";"48.9";"Ile-de-France";"Paris";"Brigade";1;;;;1;;;4;;5
65;"Bony";2100;"Bony";"3.21667";"49.9833";"Orléanais";"Orléans";"Brigade";1;;;;;1;;4;;5
66;"Bordeaux";33063;"Bordeaux";"-0.566667";"44.8333";"Guyenne";"Bordeaux";"P. Générale";1;1;;2;1;;1;8;1;14
74;"Boulai";"‎57097";"Boulay-Moselle";"6.5";"49.1833";"Lorraine";"Sarguemine";"Brigade";1;;;;;1;;4;;5
63;"Boulogne";31080;"Boulogne-sur-Gesse";"0.644722";"43.2895";"Béarn";"Auch";"Brigade";0;;;;;;1;4;;5
75;"Boulogne";62160;"Boulogne-sur-Mer";"1.61667";"50.7167";"Picardie";"Boulogne";"D. de la P. Générale";1;;;1;;;1;4;;6
67;"Bourbonne";52060;"Bourbonne-les-Bains";"5.75";"47.95";"Champagne";"Langres";"Brigade";0;;;;;1;;4;;5
70;"Bourg";1053;"Bourg-en-Bresse";"5.21667";"46.2";"Bourgogne";"Bourg";"D. de la P. Générale";0;;1;;1;1;;4;;7
71;"Bourg la reine";92014;"Bourg-la-Reine";"2.31667";"48.775";"Ile-de-France";"Paris";"Brigade";1;;;1;;;;4;;5
68;"Bourg-Achard";27103;"Bourg-Achard";"0.816667";"49.35";"Rouen";"Caudebec";"Brigade";1;;;;;;1;4;;5
72;"Bourges";18033;"Bourges";"2.4";"47.0833";"Berry";"Bourges";"P. Générale";1;1;;2;1;1;;8;1;14
73;"Bourgoin";38053;"Bourgoin-Jallieu";"5.27972";"45.5917";"Dauphiné";"Grenoble";"Brigade";1;;;;;;1;4;;5
76;"Bourmont";52064;"Bourmont";"5.58333";"48.2";"Lorraine";"Bar le duc";"Brigade";0;;;;;1;;4;;5
78;"Bousonville";"‎57106";"Bouzonville";"6.53333";"49.3";"Lorraine";"Sarguemine";"Brigade";0;;;;;1;;4;;5
77;"Boussac";23031;"Boussac";"2.215";"46.3489";"Berry";"Bourges";"Brigade";0;;;;;;1;4;;5
81;"Brésol";61059;"Bresolettes";"0.633333";"48.6333";"Alençon";"Alençon";"Brigade";0;;;;;;1;4;;5
79;"Breteuil";60104;"Breteuil";"2.3";"49.6333";"Picardie";"Amiens";"Brigade";1;;;;1;;;4;;5
80;"Brethel";61060;"Brethel";"0.533333";"48.7167";"Alençon";"Alençon";"Brigade";0;;;;;1;;4;;5
82;"Brie-Comte-Robert";77053;"Brie-Comte-Robert";"2.61667";"48.6833";"Paris";"Melun";"Brigade";1;;;;1;;;4;;5
83;"Brignolle";83023;"Brignoles";"6.06667";"43.4";"Provence";"Aix";"Brigade";1;;;;;;1;4;;5
84;"Brioude";43040;"Brioude";"3.4";"45.3";"Auvergne";"Riom";"Brigade";1;;;;1;;;4;;5
85;"Brives la G.";"‎19031";"Brive-la-Gaillarde";"1.53333";"45.15";"Limousin";"Tulles";"Brigade";0;;;;1;;1;8;;10
86;"Brons";22020;"Broons";"-2.26667";"48.3167";"Bretagne";"Rennes";"Brigade";1;;;;;1;;4;;5
87;"Caen";14118;"Caen";"-0.35";"49.1833";"Caen";"Caen";"P. Générale";1;1;;1;;1;1;8;1;13
88;"Cahors";46042;"Cahors";"1.43333";"44.4333";"Montauban";"Cahors";"D. de la P. Générale";1;;;1;;1;1;8;;11
89;"Calais";62193;"Calais";"1.83333";"50.95";"Picardie";"Boulogne";"Brigade";1;;;;;1;;4;;5
90;"Cambrai";59122;"Cambrai";"3.23333";"50.1667";"Flandres";"Cambrai";"D. de la P. Générale";1;;;1;1;;;4;;6
91;"Cambremer";14126;"Cambremer";"0.05";"49.15";"Rouen";"Caudebec";"Brigade";0;;;;;1;;4;;5
92;"Carcassonne";11069;"Carcassonne";"2.35";"43.2167";"Languedoc";"Carcassonne";"D. de la P. Générale";1;;;1;;;1;4;;6
93;"Carentan";50099;"Carentan";"-1.23333";"49.3";"Caen";"Coutances";"Brigade";1;;;;;;1;4;;5
97;"Casets";64175;"Castet";"-0.416667";"43.0667";"Béarn";"Mont de Marsan";"Brigade";1;;;;;;1;4;;5
94;"Cassel";59135;"Cassel";"2.48333";"50.8";"Flandres";"Cambrai";"Brigade";1;;;;;;1;4;;5
95;"Casteljaloux ";47052;"Casteljaloux";"0.1";"44.3167";"Guyenne";"Agen";"Brigade";0;;;;;1;;4;;5
96;"Castelnaudary";11076;"Castelnaudary";"1.95";"43.3167";"Languedoc";"Toulouse";"Brigade";1;;;;;1;;4;;5
98;"Castres";81065;"Castres";"2.25";"43.6";"Languedoc";"Carcassonne";"Brigade";1;;;;;;1;4;;5
99;"Caudebec";76164;"Caudebec-en-Caux";"0.733333";"49.5333";"Rouen";"Caudebec";"D. de la P. Générale";1;;;1;;;1;4;;6
100;"Caudies";66046;"Caudiès-de-Fenouillèdes";"2.38333";"42.8167";"Languedoc";"Carcassonne";"Brigade";0;;;;;;1;4;;5
101;"Cernay";68063;"Cernay";"7.16667";"47.8167";"Alsace";"Colmar";"Brigade";1;;;;;1;;3;;4
102;"Chabanais";16070;"Chabanais";"0.716667";"45.8667";"Limousin";"Angoulême";"Brigade";0;;;;;;1;4;;5
103;"Chalabre";11091;"Chalabre";2;"42.9833";"Languedoc";"Carcassonne";"Brigade";0;;;;;;1;4;;5
104;"Chalans";85047;"Challans";"-1.88333";"46.85";"Poitou";"Montaigu";"Brigade";0;;;;;1;;4;;5
105;"Challons";51108;"Châlons-en-Champagne";"4.36667";"48.9583";"Champagne";"Challons";"P. Générale";1;1;;2;1;1;1;12;1;19
106;"Chalon";71076;"Chalon-sur-Saône";"4.85";"46.7833";"Bourgogne";"Chalons";"D. de la P. Générale";1;;1;1;;1;;4;;7
107;"Champeau";21139;"Champeau-en-Morvan";"4.14417";"47.2764";"Bourgogne";"Dijon";"Brigade";0;;;;;;1;4;;5
108;"Chantonnay";85051;"Chantonnay";"-1.05";"46.6833";"Poitou";"Fontenay le Comte";"Brigade";0;;;;;;1;4;;5
109;"Charenton";94018;"Charenton-le-Pont";"2.41667";"48.8167";"Ile-de-France";"Paris";"Brigade";1;;;1;;;;4;;5
110;"Charolles";71106;"Charolles";"4.28333";"46.4333";"Bourgogne";"Charolles";"D. de la P. Générale";0;;1;1;;1;;4;;7
111;"Chartres";28085;"Chartres";"1.5";"48.45";"Orléanais";"Chartres";"D. de la P. Générale";1;;;1;;1;1;8;;11
133;"Chaselle";"‎57642";"Scy-Chazelles";"6.11667";"49.1167";"Lyonnais";"Lyon";"Brigade";0;;;;;;1;4;;5
112;"Chasseneuil";16085;"Chasseneuil-sur-Bonnieure";"0.45";"45.8239";"Limousin";"Angoulême";"Brigade";0;;;;;1;;4;;5
125;"Chat. la Vallière";37062;"Château-la-Vallière";"0.316667";"47.55";"Touraine";"Tours";"Brigade";0;;;;;;1;4;;5
113;"Chateau Briand";44036;"Châteaubriant";"-1.38333";"47.7167";"Bretagne";"Nantes";"Brigade";0;;;;1;;;4;;5
114;"Chateau Chinon";58062;"Château-Chinon (Ville)";"3.93305";"47.0653";"Bourbonnais";"Nevers";"Brigade";0;;;;1;;;4;;5
118;"Chateau du loir";72071;"Château-du-Loir";"0.416667";"47.7";"Maine";"Le Mans";"Brigade";0;;;;;1;;4;;5
115;"Chateau Dun";28088;"Châteaudun";"1.33333";"48.0833";"Orléanais";"Chartres";"Brigade";0;;;;1;;;4;;5
116;"Chateau Gontier";53062;"Château-Gontier";"-0.7";"47.8333";"Anjou";"Chateau Gontier";"D. de la P. Générale";0;;;1;;1;;4;;6
122;"Chateau renaud";37063;"Château-Renault";"0.916667";"47.5833";"Touraine";"Tours";"Brigade";0;;;;;1;;4;;5
124;"Chateau Thierry";2168;"Château-Thierry";"3.4";"49.05";"Soissonnais";"Soissons";"Brigade";1;;;;;1;;4;;5
117;"Chateaulin";29026;"Châteaulin";"-4.08333";"48.2";"Bretagne";"Quimper";"Brigade";1;;;;;1;;4;;5
120;"Chateauneuf";45082;"Châteauneuf-sur-Loire";"2.23333";"47.8667";"Berry";"Bourges";"Brigade";0;;;;;;1;4;;5
119;"Chateauneuf";45082;"Châteauneuf-sur-Loire";"2.23333";"47.8667";"Orléanais";"Orléans";"Brigade";0;;;;1;;;4;;5
121;"Chateauneuf";61101;"Le Château-d'Almenêches";"0.116667";"48.6833";"Alençon";"Alençon";"Brigade";0;;;;1;;;4;;5
123;"Chateauroux";36044;"Châteauroux";"1.7";"46.8167";"Berry";"Chatillon";"Brigade";1;;;;1;;;4;;5
126;"Chatellereault";"‎86066";"Châtellerault";"0.533333";"46.8";"Poitou";"Poitiers";"Brigade";1;;;;1;;;4;;5
129;"Chatillon";21154;"Châtillon-sur-Seine";"4.55";"47.85";"Bourgogne";"Chatillon";"D. de la P. Générale";0;;1;1;;1;;4;;7
127;"Chatillon";36045;"Châtillon-sur-Indre";"1.16667";"46.9833";"Berry";"Chatillon";"D. de la P. Générale";0;;;1;;;1;4;;6
128;"Chatillon";86067;"Châtillon";"0.2";"46.3167";"Poitou";"Montaigu";"Brigade";0;;;;1;;;4;;5
130;"Chaudes Aigues";15045;"Chaudes-Aigues";3;"44.85";"Auvergne";"St Flour";"Brigade";0;;;;;1;;4;;5
131;"Chaume";77107;"Chaumes-en-Brie";"2.85";"48.6667";"Paris";"Melun";"Brigade";0;;;;1;;;4;;5
132;"Chaumont";52121;"Chaumont";"5.13333";"48.1167";"Champagne";"Langres";"Brigade";1;;;;1;;;4;;5
134;"Chef-boutonne";79083;"Chef-Boutonne";"-0.05";"46.1";"Poitou";"Fontenay le Comte";"Brigade";0;;;;;;1;4;;5
135;"Chénéraille";23061;"Chénérailles";"2.16667";"46.1167";"Bourbonnais";"Gueret";"Brigade";0;;;;;;1;4;;5
136;"Chevreuse";78160;"Chevreuse";"2.05";"48.7";"Paris";"Mantes";"Brigade";0;;;;1;;;4;;5
137;"Chinon";37072;"Chinon";"0.25";"47.1667";"Touraine";"Tours";"Brigade";0;;;;;1;;4;;5
138;"Cholet";49099;"Cholet";"-0.883333";"47.0667";"Anjou";"Angers";"Brigade";0;;;;1;;;4;;5
139;"Clammecy";58079;"Clamecy";"3.51667";"47.45";"Orléanais";"Montargis";"Brigade";0;;;;;;1;4;;5
140;"Clermont";60157;"Clermont";"2.4";"49.3833";"Soissonnais";"Clermont";"D. de la P. Générale";1;;;1;;1;;4;;6
141;"Clermont";63113;"Clermont-Ferrand";"3.08333";"45.7833";"Auvergne";"Clermont";"P. Générale";1;1;;;1;;1;8;1;12
142;"Cognac";16102;"Cognac";"-0.333333";"45.7";"Aunix";"Saintes";"Brigade";0;;;;;;1;4;;5
143;"Colmar";68066;"Colmar";"7.36667";"48.0833";"Alsace";"Colmar";"D. de la P. Générale";1;;;1;;1;;3;;5
144;"Compiègne";60159;"Compiègne";"2.83333";"49.4167";"Paris";"Senlis";"Brigade";1;;;;1;;;4;;5
145;"Confolens";16106;"Confolens";"0.666667";"46.0167";"Poitou";"Montmorillon";"Brigade";0;;;;;;1;4;;5
146;"Corbeil";91174;"Corbeil-Essonnes";"2.4829";"48.5566";"Paris";"Melun";"Brigade";1;;;;1;;;4;;5
147;"Corps";38128;"Corps";"5.95";"44.8167";"Dauphiné";"Gap";"Brigade";0;;;;;;1;4;;5
148;"Coulommiers";77131;"Coulommiers";"3.08333";"48.8167";"Paris";"Meaux";"Brigade";0;;;;1;;;4;;5
149;"Courtenai";45115;"Courtenay";"3.05";"48.0333";"Paris";"Sens";"Brigade";0;;;;;1;;4;;5
150;"Coutances";50147;"Coutances";"-1.43333";"49.05";"Caen";"Coutances";"D. de la P. Générale";0;;;1;;1;;4;;6
151;"Coutras";33138;"Coutras";"-0.133333";"45.0333";"Guyenne";"Bordeaux";"Brigade";1;;;;;;1;4;;5
152;"Craon";53084;"Craon";"-0.95";"47.85";"Anjou";"Château-Gontier";"Brigade";0;;;;;;1;4;;5
153;"Creon";33140;"Créon";"-0.35";"44.7833";"Guyenne";"Bordeaux";"Brigade";0;;;;;;1;4;;5
154;"Cusset";3095;"Cusset";"3.46667";"46.1333";"Bourbonnais";"Moulins";"Brigade";0;;;;1;;;4;;5
